date,price,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,daily_return,daily_rv,log_daily_rv,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d
2025-02-24,47.14400100708008,1,0,0,0,0,0,0,0,0,0,0,-0.0010811794132353503,1.1689489236039362e-06,-13.659404713343166,-10.129519463405765,-7.96759367634128,-6.964570856972033,-5.732169573553839
2025-02-25,44.29100036621094,1,0,0,0,0,0,0,0,0,0,0,-0.06242526448874018,0.003896913646489166,-5.547570411585682,-13.659404713343166,-8.081096346077645,-6.999029401181284,-5.888206386249921
2025-02-26,41.33599853515625,1,0,0,0,0,0,0,0,0,0,0,-0.06904774886125753,0.004767591622807291,-5.345914002256481,-5.547570411585682,-6.996071990759574,-6.824560438525435,-6.100169150456149
2025-02-27,44.93000030517578,1,0,0,0,0,0,0,0,0,0,0,0.08337197432691723,0.006950886103168146,-4.968886130529877,-5.345914002256481,-6.3239534648339335,-6.647530968107791,-6.1205516781658655
2025-02-28,44.31999969482422,1,0,0,0,0,0,0,0,0,0,0,-0.01366969432102515,0.00018686054283026724,-8.585147974241572,-4.968886130529877,-5.766310540820741,-6.4704773361248655,-5.970927017518163
2025-03-03,45.2130012512207,0,1,0,0,0,0,0,0,0,0,0,0.019948648226270016,0.00039794856605546587,-7.829187789534414,-8.585147974241572,-5.7569667641083475,-6.466666064500412,-5.927463132255541
2025-03-04,43.4640007019043,0,1,0,0,0,0,0,0,0,0,0,-0.03945165838124573,0.0015564333490305164,-6.465358389410278,-7.829187789534414,-5.732169573553839,-6.561235441852029,-5.951468786913508
2025-03-05,41.507999420166016,0,1,0,0,0,0,0,0,0,0,0,-0.04604685962449601,0.002120313281278041,-6.156191426556362,-6.465358389410278,-5.888206386249921,-6.516183989683457,-6.118844837741194
2025-03-06,38.2400016784668,0,1,0,0,0,0,0,0,0,0,0,-0.08200403369766172,0.00672466154268724,-5.001973682836981,-6.156191426556362,-6.100169150456149,-6.477273935745389,-7.059009665916079
2025-03-07,39.97100067138672,0,1,0,0,0,0,0,0,0,0,0,0.04427207589502691,0.0019600167040550224,-6.234802282788776,-5.001973682836981,-6.1205516781658655,-6.29867478439112,-7.65689510593959
2025-03-10,41.231998443603516,0,1,0,0,0,0,0,0,0,0,0,0.031060408191526327,0.0009647489570242358,-6.943642637594565,-6.234802282788776,-5.970927017518163,-6.277364237171967,-7.813343510186385
2025-03-11,42.709999084472656,0,1,0,0,0,0,0,0,0,0,0,0.035218447254760525,0.001240339027036349,-6.692370527028081,-6.943642637594565,-5.927463132255541,-6.270848689290788,-8.594333660932646
2025-03-12,42.25400161743164,0,1,0,0,0,0,0,0,0,0,0,-0.010734001260649741,0.00011521878306363024,-9.068677766886784,-6.692370527028081,-5.951468786913508,-6.250580119427827,-6.98352341831971
2025-03-13,42.07600021362305,0,1,0,0,0,0,0,0,0,0,0,-0.004221550202720306,1.7821486114087857e-05,-10.935105687434516,-9.068677766886784,-6.118844837741194,-6.259469762664851,-6.958651291288307
2025-03-14,42.290000915527344,0,1,0,0,0,0,0,0,0,0,0,0.005073161179083825,2.573696434896318e-05,-10.567582259057287,-10.935105687434516,-7.059009665916079,-6.299244720366288,-6.956865426716019
2025-03-17,41.24800109863281,0,1,0,0,0,0,0,0,0,0,0,-0.02494801974159673,0.0006224036890271002,-7.381921656410887,-10.567582259057287,-7.65689510593959,-6.299157982303666,-7.09427628611945
2025-03-18,40.755001068115234,0,1,0,0,0,0,0,0,0,0,0,-0.012024095636969207,0.00014457887588698192,-8.841685338530041,-7.381921656410887,-7.813343510186385,-6.3180210725878485,-6.947374683035369
2025-03-19,43.35499954223633,0,1,0,0,0,0,0,0,0,0,0,0.06184346851600448,0.0038246145980900376,-5.56629757518794,-8.841685338530041,-8.594333660932646,-6.489457675159892,-8.288116508156433
2025-03-20,42.85499954223633,0,1,0,0,0,0,0,0,0,0,0,-0.011599712601466293,0.00013455333243661593,-8.913549906392815,-5.56629757518794,-6.98352341831971,-6.386158428352635,-8.344634444867642
2025-03-21,42.60499954223633,0,1,0,0,0,0,0,0,0,0,0,-0.005850707133605377,3.423077396322085e-05,-10.282385465794706,-8.913549906392815,-6.958651291288307,-6.406096582659784,-8.194906659971537
2025-03-24,42.74800109863281,0,1,0,0,0,0,0,0,0,0,0,0.0033508298273113566,1.1228060531599456e-05,-11.397094419287326,-10.282385465794706,-6.956865426716019,-6.415679588159648,-8.200246449382206
2025-03-25,41.55500030517578,0,1,0,0,0,0,0,0,0,0,0,-0.02830457801397546,0.000801149136549223,-7.129463439026944,-11.397094419287326,-7.09427628611945,-6.422578888516935,-7.636302964262764
2025-03-26,40.869998931884766,0,1,0,0,0,0,0,0,0,0,0,-0.016621586907160826,0.0002762771513123002,-8.194106021049047,-7.129463439026944,-6.947374683035369,-6.401501416717571,-7.438409766795517
2025-03-27,41.20199966430664,0,1,0,0,0,0,0,0,0,0,0,0.008090519277363581,6.545650217739172e-05,-9.634124709545233,-8.194106021049047,-8.288116508156433,-6.393992349259246,-6.812733946846877
2025-03-28,40.58700180053711,0,1,0,0,0,0,0,0,0,0,0,-0.015038928067351411,0.00022616935741497004,-8.394226465814562,-9.634124709545233,-8.344634444867642,-6.504016840362437,-6.140289467775578
